p1,p2,p3,p4,q1,q2,q3,q4
1.320529819,0.559701502,0.83606559,0.522727251,7.550000668,4.019999981,0.610000074,1.320000172
1.571847558,0.568409026,1.076142073,0.637905955,6.819999695,35.00999832,3.940000057,20.62999916
2.567331791,0.552657008,1.057692289,1.003043532,8.020000458,10.35000134,1.5600003,23.00000191
0.828908563,0.478670031,0.871794879,0.534630358,6.780000687,15.94000149,3.510000229,25.70000267
1.954802275,0.935353518,2.67716527,0.465867162,3.539999723,9.899999619,1.269999981,10.84000015
0.759036124,0.299242407,0.486238569,0.222486138,3.320000172,15.84000015,1.089999914,12.63000011
1.923588037,0.464801878,1.123042583,0.677966118,12.03999996,42.89999771,4.46999979,27.13999939
1.246406555,0.218480811,1.111111164,1.444141746,4.869999886,12.77000046,0.899999917,3.670000076
1.733023286,0.577335358,0.927710831,0.998552799,10.75,6.529999733,0.830000043,6.910000324
6,0.451676548,2.472222328,0.925498426,0.01,5.069999695,2.159999847,9.529999733
1.003041387,0.539312363,0.7974087,0.453477859,16.44000435,41.5900116,8.490001678,55.35000992
1.260309339,0.556266487,0.755447924,0.484210521,7.760000229,26.5700016,4.130000114,42.75
1.778481007,0.411913186,1.600000024,0.993217051,6.320000648,19.81000137,1.200000048,10.32000065
2.48775506,1.452566147,0.815126061,0.822817624,4.899999619,12.8599987,2.379999876,11.56999969
2.066115618,0.621963561,2.573170662,1.770897746,13.31000042,19.76000023,0.820000052,3.230000257
1,0.469155848,0.661157012,0.540674627,1.250000119,6.160000324,1.210000157,10.08000088
1.843347669,0.553191483,0.523636341,1.181818128,4.659999371,4.699999332,2.749999762,1.100000024
1.929292917,0.651653767,1.547826052,0.762331843,1.9799999,14.21000004,1.149999976,6.690000057
2.696387529,0.642518342,1.309895873,0.451344103,13.00999737,23.18999481,3.839999199,37.19999313
1.299236655,0.455592096,0.902255595,0.347288281,6.549999237,6.079999447,1.329999924,10.50999832
0.764277041,0.437830061,1.279411793,0.306007504,8.230000496,20.82999992,2.720000029,15.9800005
1.663126826,0.479426444,3.600822926,0.850471139,16.95000076,16.03999901,2.430000305,24.41000175
1.158415794,0.53337574,1.305154562,0.533115566,10.09999943,15.72999859,4.849999428,33.66999435
2.324503422,0.486644417,1.816666603,0.871742427,4.53000021,11.97999954,0.600000024,19.56999969
2.680000067,0.546915174,1.859588981,0.4375,8.75,15.55999851,2.920000076,39.04000092
2.406570911,0.611334682,2.185714245,1.066817164,9.739999771,29.81999969,4.900000095,22.14999962
1.541205406,0.61208576,1.919354796,0.543218553,8.129999161,10.25999928,3.719999552,14.22999859
0.880020857,0.418690205,0.710227251,0.484848469,19.16999817,13.58999825,3.519999504,17.48999786
1.696510911,0.233116895,1.384853125,0.386804253,15.18999767,15.39999771,6.469998837,31.97999573
2.109712362,0.55912292,0.974160194,1.541342735,5.559999466,12.7699995,3.869999409,14.14999962
1.155085564,0.912023485,0.591939569,0.500301719,9.930001259,6.820001125,3.970000744,16.5700016
3.441558361,0.396341473,1.728813529,0.459886283,2.310000181,6.56000042,1.770000219,15.83000183
1.343058348,0.783216774,3.483870983,0.777026951,9.93999958,22.87999916,0.620000005,2.960000277
1.656326532,0.380907387,1.217573166,0.458641976,12.25000191,10.58000183,2.390000343,16.20000267
1.570624948,0.557009339,0.833333313,0.521850884,15.99999905,5.349999905,1.200000048,7.78000021
0.675000012,0.458031088,3.224999905,1.223628759,6,9.649999619,0.400000006,2.369999886
4.503778458,1.165087938,3.239130497,1.715743423,7.940000534,14.77999973,1.380000114,6.859999657
2.31822753,0.477684498,1.166666746,0.597214162,9.930001259,45.26000595,2.100000381,17.23000145
1.650756717,0.647637784,2.339449406,0.788004994,8.590001106,10.1600008,1.090000153,24.01000404
