,salesprice,calcacres,ENGMeanScaleScore15,median_income,age,totbath,rmtot,rmbed,fixtot,fixhalf,fixaddl,fourthquart,pct_renter_occupied,pct_above_f,pct_below_f,MATHMeanScaleScore15,pct_HSdiploma,log_median_income,sqft,lon,plon,lat,plat,pct_white,pct_black,pct_collegeDegree,median_house_value,HHsize,tract_cover,total_crime_house
44,667250,0.3209,542.4191419,156150,77,2,7,3,8,0,2,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,2072,-84.35053723,0,33.78605748,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.063766683
45,937500,0.4293,542.4191419,160500,85,3,8,4,11,0,2,1,12.21719457,1,0,555.5377049,97.19853837,11.98604922,3000,-84.35717545,0,33.7985341,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
46,608000,0.3223,542.4191419,111140,75,2,5,3,10,0,4,0,17.25601132,0,1,555.5377049,100,11.61854595,2500,-84.36095813,0,33.80189929,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
47,510000,0.1629,542.4191419,131389,85,2,10,5,8,0,2,0,28.31632653,0,1,555.5377049,99.57924264,11.78591767,3500,-84.35430259,0,33.79002162,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
48,528000,0.1423,542.4191419,160500,65,2.5,6,2,12,1,4,0,12.21719457,0,1,555.5377049,97.19853837,11.98604922,1252,-84.3557614,0,33.79290563,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
49,651000,0.1687,542.4191419,160500,90,2,5,3,8,0,2,0,12.21719457,0,0,555.5377049,97.19853837,11.98604922,1937,-84.35544541,0,33.79541252,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
50,651000,0.1907,542.4191419,111140,25,3.5,6,3,15,1,4,0,17.25601132,0,0,555.5377049,100,11.61854595,3200,-84.35980131,0,33.80861915,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
51,975000,0.5572,542.4191419,160500,96,2,8,4,8,0,2,1,12.21719457,1,0,555.5377049,97.19853837,11.98604922,3020,-84.35539061,0,33.79806856,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
52,1050000,0.2043,542.4191419,156150,85,3.5,9,4,18,1,7,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,3340,-84.35350069,0,33.78573797,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.063766683
53,1075000,0.3988,542.4191419,111140,64,2.5,9,4,15,1,7,0,17.25601132,1,0,555.5377049,100,11.61854595,3810,-84.35428846,0,33.80384753,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
